,,,,,,,,,,,,,,,,,,,,,,,,,
,Rk,School,G,W,L,W-L%,SRS,SOS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
,1,Abilene Christian NCAA,34,27,7,0.794,-1.91,-7.34,1370,897,1911,0.469,251,660,0.380,457,642,0.712,325,1110,525,297,93,407,635
,2,Air Force,32,14,18,0.438,-4.28,0.24,1300,802,1776,0.452,234,711,0.329,341,503,0.678,253,1077,434,154,57,423,543
,3,Akron,33,17,16,0.515,4.86,1.09,1325,797,1948,0.409,297,929,0.320,380,539,0.705,312,1204,399,185,106,388,569
,4,Alabama,34,18,16,0.529,9.45,9.01,1365,856,1945,0.440,244,718,0.340,492,739,0.666,384,1285,418,157,160,465,572
,5,Alabama A&M,32,5,27,0.156,-19.23,-8.38,1295,736,1809,0.407,182,578,0.315,284,453,0.627,314,1032,385,234,50,487,587
,6,Alabama State,31,12,19,0.387,-15.60,-7.84,1250,712,1764,0.404,216,673,0.321,446,684,0.652,365,1094,313,203,102,451,565
,7,Albany (NY),32,12,20,0.375,-9.38,-6.70,1300,728,1750,0.416,274,790,0.347,420,564,0.745,294,1081,402,195,78,454,566
,8,Alcorn State,31,10,21,0.323,-22.08,-8.97,1245,709,1721,0.412,211,646,0.327,366,543,0.674,334,1079,391,229,107,492,548
,9,American,30,15,15,0.500,-4.19,-7.23,1220,780,1645,0.474,190,584,0.325,411,589,0.698,251,1014,402,221,131,386,520
,10,Appalachian State,32,11,21,0.344,-3.73,0.10,1290,880,1938,0.454,292,814,0.359,505,706,0.715,310,1127,406,171,90,418,585
,11,Arizona,32,17,15,0.531,8.32,6.32,1290,794,1861,0.427,235,699,0.336,446,620,0.719,324,1115,398,165,73,370,594
,12,Arizona State NCAA,34,23,11,0.676,10.28,6.04,1380,899,2012,0.447,240,714,0.336,600,882,0.680,399,1351,459,213,109,466,675
,13,Arkansas,34,18,16,0.529,11.75,8.78,1370,893,2004,0.446,259,751,0.345,514,769,0.668,345,1152,543,276,172,450,693
,14,Arkansas State,32,13,19,0.406,-7.10,-1.23,1310,796,1904,0.418,237,709,0.334,530,721,0.735,403,1211,363,183,139,448,684
,15,Arkansas-Pine Bluff,32,13,19,0.406,-14.43,-8.18,1300,719,1685,0.427,194,574,0.338,476,702,0.678,317,1063,365,216,109,478,629
,16,Army,32,13,19,0.406,-7.57,-4.73,1280,837,1956,0.428,272,863,0.315,322,471,0.684,259,1125,499,198,50,376,544
,17,Auburn NCAA,40,30,10,0.750,20.84,10.92,1615,1097,2439,0.450,454,1204,0.377,540,760,0.711,457,1369,572,369,190,466,731
,18,Austin Peay,33,22,11,0.667,0.59,-4.41,1335,973,2060,0.472,268,702,0.382,498,705,0.706,397,1215,454,252,110,392,596
,19,Ball State,33,16,17,0.485,3.39,1.21,1340,889,1892,0.470,202,621,0.325,498,709,0.702,308,1243,426,217,118,480,579
,20,Baylor NCAA,34,20,14,0.588,13.38,9.26,1365,869,1966,0.442,274,803,0.341,430,635,0.677,450,1281,473,209,159,446,636
,21,Belmont NCAA,33,27,6,0.818,9.12,-2.60,1330,1042,2094,0.498,343,922,0.372,441,598,0.737,286,1275,645,220,125,376,509
,22,Bethune-Cookman,31,14,17,0.452,-11.98,-9.74,1250,833,1899,0.439,204,635,0.321,420,689,0.610,415,1274,444,234,108,501,610
,23,Binghamton,33,10,23,0.303,-13.92,-4.69,1320,793,1842,0.431,275,788,0.349,291,452,0.644,244,1060,324,183,152,409,474
,24,Boise State,33,13,20,0.394,3.61,1.08,1330,845,1801,0.469,252,715,0.352,422,584,0.723,242,1016,398,200,68,379,570
,25,Boston College,31,14,17,0.452,5.83,7.76,1260,768,1808,0.425,218,687,0.317,442,633,0.698,331,1139,382,159,103,378,509
,26,Boston University,33,15,18,0.455,-6.61,-5.39,1325,922,1922,0.480,221,639,0.346,320,468,0.684,311,1091,447,199,73,425,578
,27,Bowling Green State,34,22,12,0.647,4.24,0.86,1370,945,2134,0.443,272,762,0.357,506,755,0.670,408,1396,427,227,90,412,596
,28,Bradley NCAA,35,20,15,0.571,-0.08,-0.90,1405,812,1874,0.433,240,653,0.368,465,672,0.692,313,1195,423,186,132,440,617
,29,Brigham Young,32,19,13,0.594,6.15,3.31,1295,878,1878,0.468,226,684,0.330,545,750,0.727,263,1118,482,203,107,354,625
,30,Brown,32,20,12,0.625,-0.62,-3.29,1290,805,1818,0.443,255,745,0.342,490,685,0.715,261,1157,418,241,123,458,600
,31,Bryant,30,10,20,0.333,-15.19,-7.66,1200,709,1680,0.422,230,708,0.325,440,618,0.712,285,969,319,158,79,383,575
,32,Bucknell,33,21,12,0.636,0.59,-2.93,1325,867,1928,0.450,311,885,0.351,489,653,0.749,286,1154,519,173,116,409,627
,33,Buffalo NCAA,36,32,4,0.889,15.56,2.62,1445,1083,2344,0.462,344,1022,0.337,527,767,0.687,452,1470,599,263,140,433,659
,34,Butler,33,16,17,0.485,9.22,8.10,1330,861,1934,0.445,292,827,0.353,360,488,0.738,288,1058,434,193,62,359,593
,35,Cal Poly,29,6,23,0.207,-13.95,-3.54,1185,706,1715,0.412,225,687,0.328,293,452,0.648,284,975,301,147,99,334,544
